"","Sample","TF_1Pos","TF_1Neg","TF_2Pos","TF_2Neg","TF_3Pos","TF_3Neg","TF_4Pos","TF_4Neg","TF_5Pos","TF_5Neg","Weight_100_101","Weight_10_11","Number_Condition","10_20","20_30","30_40","40_50","20_21","30_31","40_41","50_51","AddingSand_Chance","RemovingSand_Chance","AddingSand_Num","RemovingSand_Num","AddingSand_How","RemovingSand_How","Sand_Num_Coded","Sand_How_Coded"
"73","Prolific","False - I disagree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","No, I think I would not be able to tell which weighs more","Infant","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","Above chance (>50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","1000","","Chance","1000","chance"
"74","Prolific","True - I agree with this statement","","","True - I agree with this statement","","","","","True - I agree with this statement","","","No, I think I would not be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","100","","They can see through the blindfold","100","cheated"
"75","Prolific","","True - I agree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Infant","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","500","","Luck","500","chance"
"76","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Adult","Above chance (>50%)","Above chance (>50%)","At chance (50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","500","","Very good at guessing","","500","chance"
"77","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","No, I think I would not be able to tell which weighs more","Infant","Above chance (>50%)","At chance (50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","200","","Luck","200","chance"
"78","Prolific","False - I disagree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Infant","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","100","","The have extra sensory perception","","100","cheated"
"79","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","around 250","","Deductive reasoning/lucky guesses until they were able to figure out by weight","","250","felt"
"80","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","1000","","coincidence","","1000","chance"
"81","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","Yes, I think I would be able to tell which weighs more","","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","500","","lucky guess","500","chance"
"82","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","No, I think I would not be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","25","","they guessed or can see through the blindfold","25","chance"
"83","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Infant","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","250","","chance","","250","chance"
"84","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","No, I think I would not be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","500","","good a guessing","","500","chance"
"85","Prolific","","True - I agree with this statement","True - I agree with this statement","","","","","","","True - I agree with this statement","No, I think I would not be able to tell which weighs more","","Infant","At chance (50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","500","","I would think that person had the answers beforehand because I feel this would be impossible.","","500","cheated"
"86","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","No, I think I would not be able to tell which weighs more","Infant","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","Above 50% -- I would have some sense of which is heavier","","500","","Guessing it.","500","chance"
"87","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Infant","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","400","","Luck","400","chance"
"88","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","50","","chance","","50","chance"
"89","Prolific","","True - I agree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","For me, personally, at least 2000","","I suppose they would have to be very perceptive","","2000","felt"
"90","Prolific","False - I disagree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","1000","","Chance","1000","chance"
"91","Prolific","False - I disagree with this statement","","","True - I agree with this statement","","","","","False - I disagree with this statement","","","Yes, I think I would be able to tell which weighs more","Infant","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","Above chance (>50%)","At chance (50%)","Above chance (>50%)","50% (completely guessing) -- I would have no sense of which is heavier","","100","","They got lucky.","","100","chance"
"92","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Adult","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","300","","cheating or luck","","300","cheated"
"93","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","1000","","Some sort of trickery like a magic show, or luck.","1000","cheated"
"94","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","1,ooo","","chance","1000","chance"
"95","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Infant","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","250","","chance","","250","chance"
"96","Prolific","False - I disagree with this statement","","","True - I agree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","100","","Lucky guesses ","100","chance"
"97","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Infant","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","500","","Pure chance","500","chance"
"98","Prolific","","False - I disagree with this statement","True - I agree with this statement","","","","","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","Adult","At chance (50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","Above chance (>50%)","50% (completely guessing) -- I would have no sense of which is heavier","","500","","luck","","500","chance"
"99","Prolific","","True - I agree with this statement","True - I agree with this statement","","","","","","","True - I agree with this statement","No, I think I would not be able to tell which weighs more","","Infant","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","50% (completely guessing) -- I would have no sense of which is heavier","","at least 500","","they cheated or it was easy to tell in some way from which bag the person was taking grains out","","500","cheated"
"100","Prolific","True - I agree with this statement","","","False - I disagree with this statement","","","","","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","Adult","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","Above chance (>50%)","At chance (50%)","At chance (50%)","At chance (50%)","At chance (50%)","","50% (completely guessing) -- I would have no sense of which is heavier","","1000","","Lucky guess. Chance. ","1000","chance"
"101","Undergrads","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","300","","They got lucky and guessed correctly or already knew what the answer was going to be","","300","chance"
"102","Undergrads","","True - I agree with this statement","False - I disagree with this statement","","","True - I agree with this statement","True - I agree with this statement","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","100","","they could in some way sense the grain. Maybe feel the hand dropping the grain into the bag.","","100","felt"
"103","Undergrads","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","Probably around 100","","Luck","100","chance"
"104","Undergrads","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","False - I disagree with this statement","","","Yes, I think I would be able to tell which weighs more","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","At least a third, so in the example of 3000 grains, I would say 1000 grains","","By pure chance or their sense of touch is extremely sensitive ","","1000","felt"
"105","Undergrads","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","100","","guessing (50-50 chance)","","100","chance"
"106","Undergrads","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","100","","Cheating","100","cheated"
"107","Undergrads","False - I disagree with this statement","","","False - I disagree with this statement","False - I disagree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","250","","They had a guessing strategy","250","chance"
"108","Undergrads","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","100","","They took off the blindfold","","100","cheated"
"109","Undergrads","True - I agree with this statement","","","True - I agree with this statement","False - I disagree with this statement","","","True - I agree with this statement","False - I disagree with this statement","","","Yes, I think I would be able to tell which weighs more","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","750","","Luck","750","chance"
"110","Undergrads","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","50","","Guessing","","50","chance"
"111","Undergrads","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","I have no idea how much 3000 grains of sand weighs, but probably a considerable number, say 1/10th of the weight to perceive a difference","","They either have a really strong sense of weights or are just getting lucky","300","felt"
"112","Undergrads","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","500-800","","Coincidence/by very rare chance","650","chance"
"113","Undergrads","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","200","","They were able to do it based on using their other senses to feel when the grain got added. ","","200","cheated"
"114","Undergrads","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","Yes, I think I would be able to tell which weighs more","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","at least 100","","Mostly chance","","100","chance"
"115","Undergrads","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","around 50","","they are lucky","50","chance"
"116","Undergrads","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","at least 100 grains","","they got it right many times by chance","","100","chance"
"117","Undergrads","","False - I disagree with this statement","True - I agree with this statement","","","True - I agree with this statement","True - I agree with this statement","","","True - I agree with this statement","No, I think I would not be able to tell which weighs more","","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","35 grains fo sand. ","","They got it right by detecting where the person who removed the sand was moving. ","35","cheated"
"118","Undergrads","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","1,000","","They could be good at guessing or used other clues, such as a shadow passing by the blindfold, the sound of someone moving by the bag that has the grain of sand removed, etc.","1000","cheated"
"119","Undergrads","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","A lot grains of sand, enough grains of sand that would make the other bag approximately 2% heavier than the other bag ","","Pure chance and luck","","60","chance"
"120","Undergrads","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","500","","They have more sensitive perception, or they are relying upon external cues","500","felt"
"121","Undergrads","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","1000","","random chance","","1000","chance"
"122","Undergrads","","True - I agree with this statement","False - I disagree with this statement","","","True - I agree with this statement","True - I agree with this statement","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","5000","","Just a matter of chance.","","5000","chance"
"123","Undergrads","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","No, I think I would not be able to tell which weighs more","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","100","","guessing","100","chance"
"124","Undergrads","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","True - I agree with this statement","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","at least 500","","Pure guessing because there is 50% chance every time","500","chance"
"125","Undergrads","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","300","","luck? cheating?","","300","chance"
"126","Undergrads","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","1000","","I think they are just a good guesser","1000","chance"
"127","Undergrads","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","No, I think I would not be able to tell which weighs more","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","For complete accuracy, probably at least half; maybe a after a third is removed a difference could be felt","","There was some other way for them to know which bag it was (e.g. the blindfold wasn't fully blocking their vision)","1000","cheated"
"128","Undergrads","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","depends on the weight of the sand (estimate: 0.001g), probably at least 40000","","Pure luck:)","","40000","chance"
"129","Undergrads","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","about 500 grains","","maybe they heard the grain being dropped in the bag or felt the bag move","","500","cheated"
"130","Undergrads","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","depends on the wieght of the sand (say 0.001g), in this case, at least ~10000 sand grains.","","Pure luck!","10000","chance"
"131","Undergrads","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","1,000","","The person listened for which bag had something dropped into it.","","1000","cheated"
"132","Undergrads","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","500","","Luck","","500","chance"
"133","Undergrads","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","50","","guessing","50","chance"
"134","Undergrads","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","500","","They somehow cheated and know which bag the grain was taken out of.","500","cheated"
"135","Undergrads","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","1,000","","They heard the person moving the sand moving, saw changes in light, etc.","","1000","cheated"
"136","Undergrads","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","No, I think I would not be able to tell which weighs more","","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","At least enough for about 5 pounds ","","Listening to which side of their head they hear the grain the most ","","","cheated"
"137","Undergrads","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","False - I disagree with this statement","True - I agree with this statement","","","Yes, I think I would be able to tell which weighs more","","","","","","","","","","50% (completely guessing) -- I would have no sense of which is heavier","","500","","they knew based off of another cue","","500","cheated"
